obsID,birdID,date_time,latitude,longitude,speed
1,166,30-Jun-09,53.4753027,6.2225211,0.070710678
2,166,30-Jun-09,53.475297,6.2224722,0.076811457
3,166,30-Jun-09,53.4755235,6.2232083,0.181383571
4,166,30-Jun-09,53.4764211,6.2228046,0.014142136
5,166,30-Jun-09,53.4763861,6.2228948,0.014142136
6,166,30-Jun-09,53.475789,6.22278,0.01
7,166,30-Jun-09,53.4755389,6.222952,0.100498756
8,166,30-Jun-09,53.4755155,6.2228839,0.050990195
9,166,30-Jun-09,53.4763507,6.2219397,0.014142136
10,166,30-Jun-09,53.4764488,6.2223832,0.02236068
11,166,30-Jun-09,53.47582,6.2229423,0.310161248
12,166,30-Jun-09,53.4764246,6.2228581,0.042426407
13,166,30-Jun-09,53.476481,6.2226765,0.041231056
14,166,30-Jun-09,53.4764775,6.2224527,0.161554944
15,166,30-Jun-09,53.4764665,6.2228831,0.530377224
16,166,30-Jun-09,53.4760389,6.2222004,0.572013986
17,166,30-Jun-09,53.4756007,6.2227051,0.222261108
18,166,30-Jun-09,53.4755062,6.2231326,0.093808315
19,166,30-Jun-09,53.4754556,6.2233395,0.150332964
20,166,30-Jun-09,53.475566,6.2233696,0.092736185
21,166,30-Jun-09,53.4764957,6.2228137,0.41761226
22,166,30-Jun-09,53.4764219,6.2228752,0.238327506
23,166,30-Jun-09,53.4763275,6.2217973,0.221133444
24,166,30-Jun-09,53.4763312,6.2217988,0.028284271
25,166,30-Jun-09,53.4763696,6.2218133,0.080622577
26,166,30-Jun-09,53.4764391,6.2217814,0.034641016
27,166,30-Jun-09,53.476451,6.221777,0
28,166,30-Jun-09,53.4763977,6.2224317,0.096953597
29,166,30-Jun-09,53.4764057,6.2223959,0.221133444
30,166,30-Jun-09,53.4764188,6.2224417,0.024494897
31,166,30-Jun-09,53.4764114,6.2223972,0.050990195
32,166,30-Jun-09,53.4764834,6.2222352,0.318747549
33,166,30-Jun-09,53.4765389,6.2221776,0.60547502
34,166,30-Jun-09,53.4765786,6.2221305,0.214009346
35,166,30-Jun-09,53.4765589,6.2221626,0.017320508
36,166,30-Jun-09,53.4764707,6.2221972,0.336600654
37,166,30-Jun-09,53.4765572,6.2225274,0.154272486
38,166,30-Jun-09,53.4766122,6.2226097,0.046904158
39,166,30-Jun-09,53.4765646,6.2225654,0.083066239
40,166,30-Jun-09,53.4765304,6.2224987,0.178325545
41,166,30-Jun-09,53.4764819,6.222499,0.02
42,166,30-Jun-09,53.4764622,6.222503,0.028284271
43,166,30-Jun-09,53.4765681,6.2224569,0.115325626
44,166,30-Jun-09,53.4765208,6.2225021,0.03
45,166,30-Jun-09,53.4764525,6.2224962,0.136014705
46,166,30-Jun-09,53.4761712,6.2226203,0.080622577
47,166,30-Jun-09,53.4760959,6.2224413,0.106301458
48,166,30-Jun-09,53.4764206,6.2223316,0.014142136
49,166,30-Jun-09,53.4764864,6.2217616,0.48846699
50,166,30-Jun-09,53.4764581,6.2218481,
51,166,30-Jun-09,53.4764822,6.2218714,0.127279221
52,166,30-Jun-09,53.4764825,6.2218489,0.182208672
53,166,30-Jun-09,53.4763748,6.2218953,0.01
54,166,30-Jun-09,53.4760595,6.2222214,0.014142136
55,166,30-Jun-09,53.4757983,6.2231321,0.024494897
56,166,30-Jun-09,53.4757081,6.2222833,0.117473401
57,166,30-Jun-09,53.4756197,6.2226972,0.053851648
58,166,30-Jun-09,53.4756692,6.2228821,0.078740079
59,166,30-Jun-09,53.4762576,6.2225688,0.076811457
60,166,30-Jun-09,53.4764571,6.2223572,0.177200451
61,166,30-Jun-09,53.4765043,6.2218526,0.076811457
62,166,30-Jun-09,53.4764848,6.2218447,0.014142136
63,166,30-Jun-09,53.4764944,6.2219024,0.09486833
64,166,30-Jun-09,53.4761774,6.2225721,0.444522215
65,166,30-Jun-09,53.4755983,6.2232864,0.582237065
66,166,30-Jun-09,53.4753814,6.223268,0.064807407
67,166,30-Jun-09,53.4753017,6.2234568,0.125698051
68,166,30-Jun-09,53.4763615,6.2224318,0
69,166,30-Jun-09,53.4763313,6.2227003,0.075498344
70,166,30-Jun-09,53.4765639,6.2225106,0.02236068
71,166,30-Jun-09,53.4764896,6.2226874,0.036055513
72,166,30-Jun-09,53.4760736,6.2227442,0.078102497
73,166,30-Jun-09,53.4761487,6.22227,0.365650106
74,166,30-Jun-09,53.4760425,6.2226524,0.410487515
75,166,30-Jun-09,53.4756863,6.2228613,0.30016662
76,166,30-Jun-09,53.4752933,6.2227187,0.11
77,166,30-Jun-09,53.476272,6.2222631,0.450444225
78,166,30-Jun-09,53.4762838,6.2220772,0.114455231
79,166,30-Jun-09,53.4754805,6.222919,0.259807621
80,166,30-Jun-09,53.4754833,6.2229491,0.057445626
81,166,30-Jun-09,53.4762261,6.2228346,1.236648697
82,166,30-Jun-09,53.4758811,6.222907,0
83,166,30-Jun-09,53.4758613,6.2229092,0
84,166,30-Jun-09,53.4758771,6.2228882,0.155884573
85,166,30-Jun-09,53.4758715,6.2224532,0.06164414
86,166,1-Jul-09,53.4758627,6.2223256,0.130384048
87,166,1-Jul-09,53.4761357,6.2228209,0.096953597
88,166,1-Jul-09,53.4757468,6.223298,0.223606798
89,166,1-Jul-09,53.4756077,6.2231592,0.06164414
90,166,1-Jul-09,53.4755038,6.2230552,0.046904158
91,166,1-Jul-09,53.4757186,6.2229058,0.112249722
