obsID,timelbl2,timelbl3,place
3,Day,Day,Mudflats_Territory
5,Day,Day,Mudflats_Territory
6,Day,Day,Mudflats_Territory
8,Day,Day,Mudflats_Territory
9,Day,Day,Mudflats_Territory
10,Day,Day,Mudflats_Territory
11,Day,Day,Mudflats_Territory
12,Day,Day,Mudflats_Territory
13,Day,Day,Mudflats_Territory
14,Day,Day,Mudflats_Territory
16,Day,Day,Mudflats_Territory
17,Day,Day,Mudflats_Territory
18,Day,Day,Mudflats_Territory
19,Day,Day,Mudflats_Territory
20,Day,Day,Mudflats_Territory
21,Day,Day,Mudflats_Territory
22,Day,Day,Mudflats_Territory
23,Day,Day,Mudflats_Territory
24,Day,Day,Mudflats_Territory
26,Day,Day,Mudflats_Territory
27,Day,Day,Mudflats_Territory
28,Day,Day,Mudflats_Territory
30,Day,Day,Mudflats_Territory
31,Day,Day,Mudflats_Territory
32,Day,Day,Mudflats_Territory
33,Day,Day,Mudflats_Territory
34,Day,Day,Territory
35,Day,Day,Roost
36,Day,Day,Mudflats_Territory
37,Day,Day,Roost
40,Day,Day,Mudflats_Territory
41,Day,Day,Mudflats_Territory
42,Day,Day,Mudflats_Territory
44,Day,Day,Mudflats_Territory
45,Day,Day,Mudflats_Territory
47,Day,Day,Mudflats_Territory
48,Day,Day,Mudflats_Territory
52,Day,Day,Mudflats_Territory
53,Day,Day,Mudflats_Territory
54,Day,Day,Mudflats_Territory
59,Day,Day,Mudflats_Territory
60,Day,Day,Mudflats_Territory
62,Day,Day,Mudflats_Territory
63,Day,Day,Mudflats_Territory
65,Day,Day,Mudflats_Territory
68,Day,Day,Mudflats_Territory
69,Day,Twilight,Mudflats_Territory
70,Day,Twilight,Territory
71,Day,Twilight,Mudflats_Territory
72,Day,Twilight,Mudflats_Territory
73,Day,Twilight,Mudflats_Territory
76,Night,Twilight,Mudflats_Territory
77,Night,Twilight,Mudflats_Territory
78,Night,Twilight,Mudflats_Territory
79,Night,Twilight,Mudflats_Territory
80,Night,Night,Mudflats_Territory
81,Night,Night,Mudflats_Territory
83,Night,Night,Mudflats_Territory
84,Night,Night,Mudflats_Territory
85,Night,Night,Mudflats_Territory
88,Night,Night,Mudflats_Territory
90,Night,Night,Mudflats_Territory
92,Night,Night,Mudflats_Territory
93,Night,Night,Mudflats_Territory
95,Night,Night,Mudflats_Territory
100,Night,Night,Mudflats_Territory
101,Night,Night,Mudflats_Territory
102,Night,Night,Mudflats_Territory
103,Night,Night,Mudflats_Territory
104,Night,Night,Mudflats_Territory
105,Night,Night,Mudflats_Territory
109,Night,Twilight,Mudflats_Territory
110,Night,Twilight,Mudflats_Territory
112,Night,Twilight,Mudflats_Territory
115,Day,Twilight,Mudflats_Territory
116,Day,Twilight,Territory
118,Day,Twilight,Mudflats_Territory
119,Day,Twilight,Mudflats_Territory
120,Day,Twilight,Mudflats_Territory
121,Day,Day,Mudflats_Territory
123,Day,Day,Mudflats_Territory
124,Day,Day,Territory
125,Day,Day,Territory
127,Day,Day,Territory
128,Day,Day,Territory
129,Day,Day,Territory
130,Day,Day,Mudflats_Territory
131,Day,Day,Mudflats_Territory
132,Day,Day,Mudflats
135,Day,Day,Mudflats
136,Day,Day,Mudflats
138,Day,Day,Mudflats
139,Day,Day,Mudflats
140,Day,Day,Mudflats
141,Day,Day,Mudflats
142,Day,Day,Mudflats_Territory
143,Day,Day,Mudflats_Territory
144,Day,Day,Mudflats_Territory
148,Day,Day,Mudflats_Territory
149,Day,Day,Mudflats_Territory
152,Day,Day,Mudflats_Territory
154,Day,Day,Mudflats_Territory
156,Day,Day,Mudflats_Territory
158,Day,Day,Mudflats_Territory
159,Day,Day,Mudflats_Territory
