obsID,SA3,SA8
1,no locomotion,stand
2,ter. locomotion,forage
3,ter. locomotion,forage
4,no locomotion,stand
5,no locomotion,stand
6,no locomotion,body care
7,no locomotion,body care
8,ter. locomotion,forage
9,ter. locomotion,forage
10,ter. locomotion,forage
11,ter. locomotion,forage
12,no locomotion,stand
13,no locomotion,body care
14,no locomotion,stand
15,no locomotion,body care
16,ter. locomotion,forage
17,no locomotion,stand
18,no locomotion,stand
19,ter. locomotion,forage
20,no locomotion,stand
21,ter. locomotion,forage
22,ter. locomotion,forage
23,no locomotion,sit
24,no locomotion,body care
25,no locomotion,sit
26,no locomotion,sit
27,no locomotion,sit
28,ter. locomotion,forage
29,no locomotion,stand
30,no locomotion,sit
31,no locomotion,sit
32,no locomotion,stand
33,no locomotion,sit
34,no locomotion,sit
35,no locomotion,sit
36,no locomotion,body care
37,no locomotion,stand
38,no locomotion,stand
39,no locomotion,body care
40,no locomotion,stand
41,no locomotion,stand
42,no locomotion,stand
43,no locomotion,sit
44,no locomotion,stand
45,ter. locomotion,forage
46,ter. locomotion,forage
47,ter. locomotion,forage
48,no locomotion,body care
49,no locomotion,sit
50,ter. locomotion,forage
51,no locomotion,stand
52,no locomotion,body care
53,no locomotion,stand
54,no locomotion,stand
55,no locomotion,stand
56,ter. locomotion,forage
57,ter. locomotion,forage
58,ter. locomotion,forage
59,no locomotion,body care
60,ter. locomotion,forage
61,no locomotion,stand
62,no locomotion,stand
63,no locomotion,stand
64,ter. locomotion,forage
65,ter. locomotion,forage
66,ter. locomotion,forage
67,no locomotion,stand
68,no locomotion,body care
69,no locomotion,body care
70,no locomotion,sit
71,no locomotion,stand
72,ter. locomotion,forage
73,ter. locomotion,forage
74,ter. locomotion,forage
75,ter. locomotion,sit
76,ter. locomotion,forage
77,ter. locomotion,forage
78,no locomotion,body care
79,ter. locomotion,forage
80,ter. locomotion,forage
81,ter. locomotion,forage
82,no locomotion,stand
83,no locomotion,stand
84,no locomotion,stand
85,ter. locomotion,forage
86,ter. locomotion,forage
87,no locomotion,stand
88,ter. locomotion,forage
89,ter. locomotion,forage
90,ter. locomotion,forage
91,ter. locomotion,sit
92,ter. locomotion,forage
93,no locomotion,body care
94,no locomotion,body care
95,no locomotion,stand
96,ter. locomotion,forage
97,ter. locomotion,forage
98,ter. locomotion,forage
99,ter. locomotion,forage
100,no locomotion,stand
101,no locomotion,stand
102,no locomotion,stand
103,no locomotion,stand
104,ter. locomotion,forage
105,ter. locomotion,forage
106,no locomotion,body care
107,ter. locomotion,forage
108,ter. locomotion,forage
109,no locomotion,stand
110,ter. locomotion,forage
111,no locomotion,stand
112,no locomotion,stand
113,no locomotion,stand
114,no locomotion,stand
115,ter. locomotion,forage
116,no locomotion,body care
117,no locomotion,stand
118,no locomotion,stand
119,no locomotion,sit
120,no locomotion,body care
121,no locomotion,sit
122,no locomotion,body care
123,no locomotion,stand
124,no locomotion,stand
125,no locomotion,body care
126,no locomotion,body care
127,no locomotion,sit
128,no locomotion,stand
129,no locomotion,body care
130,no locomotion,body care
131,no locomotion,stand
132,fly,fly
133,ter. locomotion,forage
134,ter. locomotion,forage
135,ter. locomotion,forage
136,ter. locomotion,forage
137,ter. locomotion,forage
138,ter. locomotion,forage
139,ter. locomotion,forage
140,no locomotion,body care
141,no locomotion,body care
142,no locomotion,stand
143,ter. locomotion,forage
144,ter. locomotion,forage
145,ter. locomotion,forage
146,no locomotion,stand
147,no locomotion,stand
148,no locomotion,body care
149,no locomotion,stand
150,no locomotion,body care
151,no locomotion,stand
152,no locomotion,stand
153,no locomotion,stand
154,no locomotion,stand
155,no locomotion,stand
156,no locomotion,stand
157,no locomotion,stand
158,no locomotion,stand
159,no locomotion,stand
160,no locomotion,stand
161,no locomotion,stand
162,no locomotion,stand
163,no locomotion,stand
164,no locomotion,stand
165,no locomotion,stand
166,no locomotion,stand
167,no locomotion,stand
168,no locomotion,stand
169,no locomotion,stand
170,no locomotion,stand
171,no locomotion,stand
172,no locomotion,stand
173,no locomotion,stand
174,no locomotion,stand
175,no locomotion,stand
176,no locomotion,stand
177,no locomotion,stand
178,no locomotion,stand
179,no locomotion,stand
180,no locomotion,stand
181,no locomotion,sit
182,ter. locomotion,forage
183,ter. locomotion,forage
